u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,access,width,tunnel,service,bridge,junction,est_width,NO2_ugm3,NO_ugm3,CO2_mgm3,CO_mgm3,O3_ugm3,PM25_ugm3
389356,2468942562,0,360313823,False,2,Bride Street,tertiary,30,True,31.815,,"LINESTRING (-6.2700802 53.3410618, -6.2700855 53.3413479)",,,,,,,,26.999,24.739,821.6795,0.4205,43.587,7.337
389357,389356,0,360313823,False,2,Bride Street,tertiary,30,True,54.3,,"LINESTRING (-6.270055 53.3405737, -6.2700802 53.3410618)",,,,,,,,26.999,24.739,821.6795,0.4205,43.587,7.337
389357,7015262300,0,376466424,True,1,Bull Alley Street,tertiary,30,False,16.877,,"LINESTRING (-6.270055 53.3405737, -6.2703092 53.3405748)",,,,,,,,11.505,1.7715,800.714,0.403,50.117,5.662
389357,248662983,0,6192247,False,2,Golden Lane,tertiary,30,False,107.893,,"LINESTRING (-6.270055 53.3405737, -6.269179 53.3405936, -6.2690085 53.3406008, -6.2688358 53.3406236, -6.2684459 53.3406788)",,,,,,,,17.231749999999998,19.138,811.542,0.37075,47.44025,5.255
389357,9964901732,0,369652829,False,2,Bride Street,tertiary,30,False,86.70100000000001,,"LINESTRING (-6.270055 53.3405737, -6.2700254 53.3404768, -6.2699785 53.3403613, -6.2699015 53.3401714, -6.2697958 53.3399304, -6.2697228 53.3398209)",,,,,,,,15.482,7.306425,807.57575,0.36575,45.79725,6.81775
389358,248662983,0,6192247,False,2,Golden Lane,tertiary,30,True,15.134,,"LINESTRING (-6.2682261 53.3407149, -6.2684459 53.3406788)",,,,,,,,17.231749999999998,19.138,811.542,0.37075,47.44025,5.255
389358,666094840,0,16309916,False,2,Whitefriar Street,unclassified,30,False,40.621,,"LINESTRING (-6.2682261 53.3407149, -6.2679454 53.3403903)",,,,,,,,6.8245000000000005,33.6395,794.488,0.3409999999999999,50.72,4.011
389358,51510562,0,6192247,False,2,Golden Lane,tertiary,30,False,50.338,,"LINESTRING (-6.2682261 53.3407149, -6.2678545 53.340779, -6.2675052 53.3408544)",,,,,,,,17.231749999999998,19.138,811.542,0.37074999999999997,47.44025,5.255
389360,666094848,0,16309916,False,2,Whitefriar Street,unclassified,30,True,20.164,,"LINESTRING (-6.2673728 53.3400807, -6.2673913 53.3400822, -6.2675317 53.3400832, -6.2675797 53.3400946, -6.267644 53.3401347)",,,,,,,,6.8245000000000005,33.6395,794.488,0.3409999999999999,50.72,4.011
389360,248735108,0,52375082,False,,,service,30,False,50.583,,"LINESTRING (-6.2673728 53.3400807, -6.2673738 53.3401511, -6.2672978 53.3402918, -6.2672797 53.3403419, -6.2672352 53.3405254)",,,,,,,,9.625,63.613,795.019,0.35,51.375,4.283
389360,247416073,0,369652831,False,2,Whitefriar Street,unclassified,30,False,45.533,,"LINESTRING (-6.2673728 53.3400807, -6.2673565 53.3400747, -6.2673496 53.3400648, -6.2673 53.3397743, -6.2672261 53.3396898)",,,,,,,,5.845,15.537600000000001,790.621,0.35,52.337,4.796
389364,1415539257,0,4395627,True,3,Granby Row,secondary,30,False,48.681,R132,"LINESTRING (-6.2655305 53.3535789, -6.2656352 53.3536458, -6.2659894 53.3538773, -6.2660309 53.3538987)",,,,,,,,24.369,23.277,816.5846666666666,0.4086666666666667,46.010333333333335,6.2556666666666665
