u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,access,width,tunnel,service,bridge,junction,est_width
4279696973,401878751,0,34608560,False,,,service,,True,28.835,,"LINESTRING (-6.289176 53.3345262, -6.289593 53.3345986)",,,,parking_aisle,,,
4285824282,59687476,0,7977026,False,1,Warner's Lane,service,30,True,59.583,,"LINESTRING (-6.2532902 53.3310993, -6.2535845 53.3316055)",,,,alley,,,
4285824282,6140964423,0,655443332,False,,,service,,True,3.618,,"LINESTRING (-6.2532902 53.3310993, -6.2532388 53.3311101)",,,,,,,
4285824282,59687474,0,7977026,False,1,Warner's Lane,service,30,False,69.783,,"LINESTRING (-6.2532902 53.3310993, -6.2529655 53.3305407, -6.2529439 53.3305068)",,,,alley,,,
4301503295,1186079318,0,102694968,False,,,service,,False,98.564,,"LINESTRING (-6.2405759 53.3410546, -6.2405612 53.3411459, -6.2405813 53.3411955, -6.2408937 53.3412163, -6.2409647 53.341271, -6.2408659 53.3417542)",,,,,,,
4303468051,4303468053,0,238000831,False,,Waterloo Avenue,pedestrian,,True,3.027,,"LINESTRING (-6.3078771 53.3463365, -6.3078315 53.3463366)",,,,,,,
4303468051,4303468052,0,431097847,False,,,pedestrian,,False,36.138,,"LINESTRING (-6.3078771 53.3463365, -6.3078583 53.3460117)",,,,,,,
4303468051,2458604296,0,238000831,False,,Waterloo Avenue,pedestrian,,False,25.052,,"LINESTRING (-6.3078771 53.3463365, -6.3081597 53.346336, -6.3082545 53.3463358)",,,,,,,
4303468052,5733881042,0,238000832,False,,,service,,True,9.841,,"LINESTRING (-6.3078583 53.3460117, -6.3077101 53.3460141)",,,,,,,
4303468052,4303468051,0,431097847,False,,,pedestrian,,True,36.138,,"LINESTRING (-6.3078583 53.3460117, -6.3078771 53.3463365)",,,,,,,
4303468052,2458604324,0,238000832,False,,,service,,False,24.357000000000003,,"LINESTRING (-6.3078583 53.3460117, -6.3081216 53.3460075, -6.3082251 53.3460059)",,,,,,,
4303468052,5733881050,0,"[874133890, 874133891]",False,,"['Long Lane Royal', 'Bolton Road']",pedestrian,,False,118.822,,"LINESTRING (-6.3078583 53.3460117, -6.3077979 53.345441, -6.3069686 53.3454816)",,,,,,,
4303468053,4303468051,0,238000831,False,,Waterloo Avenue,pedestrian,,False,3.027,,"LINESTRING (-6.3078315 53.3463366, -6.3078771 53.3463365)",,,,,,,
4303468053,5733881039,0,238000831,False,,Waterloo Avenue,pedestrian,,True,54.804,,"LINESTRING (-6.3078315 53.3463366, -6.3070059 53.3463381)",,,,,,,
4303468053,4303468055,0,431097848,False,,,pedestrian,,False,80.902,,"LINESTRING (-6.3078315 53.3463366, -6.3078369 53.3465169, -6.3069205 53.3465305)",,,,,,,
4303468055,4303468053,0,431097848,False,,,pedestrian,,True,80.902,,"LINESTRING (-6.3069205 53.3465305, -6.3078369 53.3465169, -6.3078315 53.3463366)",,,,,,,
4303468055,3393186629,0,874133889,False,,Ordnance Square,pedestrian,,False,21.383,,"LINESTRING (-6.3069205 53.3465305, -6.3069218 53.3464535, -6.3069237 53.3463382)",,,,,,,
4303468055,5733881060,0,"[874133889, 332207645]",False,,Ordnance Square,pedestrian,,True,97.961,,"LINESTRING (-6.3069205 53.3465305, -6.306913 53.3469722, -6.3065833 53.346977, -6.3061774 53.3469829)",,,,,,,
4303468056,267888923,0,121249650,False,2,South Circular Road,secondary,50,True,9.712,R111,"LINESTRING (-6.3082743 53.346663, -6.3082699 53.3465757)",,,,,,,
4303468056,9498953715,0,"[369154724, 4486062, 121249650, 4486068, 230902743, 230902745, 317003263]",False,2,South Circular Road,secondary,50,"[False, True]",150.801,R111,"LINESTRING (-6.3082743 53.346663, -6.3082832 53.346842, -6.3082862 53.3469028, -6.3082913 53.347004, -6.3083011 53.3471487, -6.3083109 53.3473791, -6.3083172 53.3474635, -6.3083386 53.3480186)",,,,,yes,,
4303468056,4303468058,0,431097849,False,2,,residential,30,False,17.585,,"LINESTRING (-6.3082743 53.346663, -6.308199 53.3466617, -6.3080095 53.3466584)",,,,,,,
4303468057,4303468058,0,431097849,False,2,,residential,30,True,35.953,,"LINESTRING (-6.3074682 53.3466473, -6.3080095 53.3466584)",,,,,,,
4303468058,4303468057,0,431097849,False,2,,residential,30,False,35.953,,"LINESTRING (-6.3080095 53.3466584, -6.3074682 53.3466473)",,,,,,,
4303468058,4794314973,0,431097850,False,,,service,30,False,2.7,,"LINESTRING (-6.3080095 53.3466584, -6.3080045 53.3466825)",,,,,,,
4303468058,4303468056,0,431097849,False,2,,residential,30,True,17.585,,"LINESTRING (-6.3080095 53.3466584, -6.308199 53.3466617, -6.3082743 53.346663)",,,,,,,
4305331624,130782425,0,13893775,False,,Leeson Close,service,30,True,106.452,,"LINESTRING (-6.2537359 53.3340601, -6.2534564 53.3338072, -6.2539436 53.3333249, -6.2540232 53.3332472)",,,,alley,,,
4308101491,4308101494,0,431586188,False,,,service,30,False,17.955,,"LINESTRING (-6.2595037 53.3483992, -6.2596437 53.3483811, -6.2597207 53.3483712, -6.2597681 53.3483651)",no,,,emergency_access,,,
4308101491,2892088915,0,"[677070804, 369897004]",True,2,O'Connell Street Lower,tertiary,30,False,93.809,,"LINESTRING (-6.2595037 53.3483992, -6.2594948 53.3483815, -6.2594585 53.3483089, -6.2593649 53.348122, -6.2591817 53.3477467, -6.2591517 53.3476853, -6.2591013 53.3475905)",,,,,,,
4308101494,4308101491,0,431586188,False,,,service,30,True,17.955,,"LINESTRING (-6.2597681 53.3483651, -6.2597207 53.3483712, -6.2596437 53.3483811, -6.2595037 53.3483992)",no,,,emergency_access,,,
4308101494,1396449287,0,677070805,True,2,O'Connell Street Lower,tertiary,30,False,82.971,,"LINESTRING (-6.2597681 53.3483651, -6.259775 53.348382, -6.259809 53.3484632, -6.2599261 53.3487403, -6.2600878 53.3490864)",,,,,,,
4309046684,4309046686,0,431678300,False,,,service,,False,53.005,,"LINESTRING (-6.2938105 53.3316477, -6.2942079 53.3314883, -6.2943149 53.3315876, -6.2943777 53.3316499)",,,,,,,
4309046686,4895260204,0,901963406,False,4,Crumlin Road,secondary,50,False,18.194,R110,"LINESTRING (-6.2943777 53.3316499, -6.2941491 53.3317401)",,,,,,,
4309046686,4309049091,0,901963406,False,4,Crumlin Road,secondary,50,True,29.82,R110,"LINESTRING (-6.2943777 53.3316499, -6.2947523 53.331502)",,,,,,,
4309046686,4309046684,0,431678300,False,,,service,,True,53.005,,"LINESTRING (-6.2943777 53.3316499, -6.2943149 53.3315876, -6.2942079 53.3314883, -6.2938105 53.3316477)",,,,,,,
4309049091,4309046686,0,901963406,False,4,Crumlin Road,secondary,50,False,29.82,R110,"LINESTRING (-6.2947523 53.331502, -6.2943777 53.3316499)",,,,,,,
4309049091,8878498949,0,901963406,False,4,Crumlin Road,secondary,50,True,38.57,R110,"LINESTRING (-6.2947523 53.331502, -6.2952356 53.3313096)",,,,,,,
4309049091,4309049093,0,431678302,False,,,service,,False,46.155,,"LINESTRING (-6.2947523 53.331502, -6.2946848 53.3314438, -6.2946211 53.3313903, -6.2943582 53.3311601)",,,,,,,
4309049093,4309049091,0,431678302,False,,,service,,True,46.155,,"LINESTRING (-6.2943582 53.3311601, -6.2946211 53.3313903, -6.2946848 53.3314438, -6.2947523 53.331502)",,,,,,,
4309049101,247945129,0,22999104,False,2,Rutland Avenue,residential,30,False,58.299,,"LINESTRING (-6.2927106 53.3310263, -6.2931972 53.3314627)",,,,,,,
4309049101,247945176,0,22999104,False,2,Rutland Avenue,residential,30,True,85.801,,"LINESTRING (-6.2927106 53.3310263, -6.2925924 53.330918, -6.292005 53.3303799)",,,,,,,
4309049101,4309049102,0,431678304,False,,,service,,False,15.586,,"LINESTRING (-6.2927106 53.3310263, -6.2926457 53.3310522, -6.2925091 53.331098)",,,,,,,
