start,end,distance_shortest_route,distance_green_route,pollutant_saving_p,extra_distance_p
POINT (-6.262267180345804 53.34752981696079),POINT (-6.290761569836033 53.35398837267477),2762.653,2876.252,12.275214175992222,3.949549622216696
POINT (-6.265132649020067 53.35078543315258),POINT (-6.270669657641124 53.35173672220139),524.865,632.7320000000001,4.89532426315139,17.04781803354344
POINT (-6.280368627109159 53.3452808778917),POINT (-6.241342772982887 53.34641688897778),3137.306000000001,3179.109,17.246846193760916,1.3149281764166934
POINT (-6.241078856875398 53.35981447025005),POINT (-6.284273671366325 53.33745515487527),6288.267,8201.219000000001,20.122333649195895,23.325215434437258
POINT (-6.272954263664375 53.35378861972259),POINT (-6.26892124272576 53.33074722931898),2949.4880000000003,3395.148,21.823890431002248,13.126379174044837
POINT (-6.301800483075668 53.35843788669715),POINT (-6.276337779151445 53.33278529243603),4466.4169999999995,5765.899,13.036053913454715,22.537370148176386
POINT (-6.267791249989818 53.353421110398386),POINT (-6.274080066199554 53.34333904630011),1682.2230000000002,2179.1929999999998,21.35954774533028,22.805231110782735
POINT (-6.254309186298018 53.33161220289945),POINT (-6.23165882802096 53.33305601145718),1974.2450000000003,2427.8149999999996,49.37194040238853,18.68223073010091
POINT (-6.269948873707633 53.339348893236085),POINT (-6.302674850725683 53.340503333801614),2738.147,2990.968,11.66623980809952,8.452815275857178
POINT (-6.274237722994921 53.34568043257565),POINT (-6.2388839469739805 53.35615886649976),3244.7910000000006,3840.9610000000002,31.099849644824538,15.52137603063399
POINT (-6.2546632367020205 53.34214354825175),POINT (-6.299630013582576 53.334053672853045),4440.899999999998,6320.859000000001,21.147478448158772,29.74214422438474
POINT (-6.282278133544863 53.348869272315916),POINT (-6.30074333724972 53.331619893205776),3040.234000000001,3520.3530000000005,13.695011614996591,13.6383766059824
POINT (-6.2837773362877885 53.34443288993923),POINT (-6.286374262066811 53.3352526710318),1593.9050000000002,1647.4720000000002,13.341920157962663,3.2514664892635503
POINT (-6.306511609536168 53.3453183),POINT (-6.286910332295454 53.35748753344518),2771.011,2851.6249999999995,11.09203316198982,2.8269495463112992
POINT (-6.288483302786792 53.35289168857998),POINT (-6.271834441857799 53.34612965520531),1902.8339999999996,2138.23,31.076381507192412,11.008918591545363
POINT (-6.295295028513584 53.35560351392545),POINT (-6.279779168697285 53.358118100331886),1179.295,1179.295,0.0,0.0
POINT (-6.254035080523374 53.35908467331552),POINT (-6.292859243640267 53.354526646889276),3680.735999999999,3771.9379999999987,8.694534687226408,2.417908247696537
POINT (-6.272409217888803 53.33616823160532),POINT (-6.269898333227992 53.34479244277555),1645.5860000000002,1645.5860000000002,0.0,0.0
POINT (-6.2683779543101386 53.33286065257282),POINT (-6.255757859980263 53.35561604010842),3396.602,4296.496000000002,17.50824218546441,20.944835046977854
POINT (-6.256736641997714 53.35968462858496),POINT (-6.299309898999832 53.33292627502226),5034.362999999999,5995.905000000001,21.7530254880756,16.036645010219495
POINT (-6.2954076650051825 53.34118021807086),POINT (-6.247120637771863 53.331172078058266),4723.5509999999995,5538.084000000002,37.16095596950093,14.707848418333885
POINT (-6.303931885528804 53.345801568128614),POINT (-6.247918584168639 53.35440445069121),4453.753999999999,4555.349000000001,14.097857757687114,2.23023526847234
POINT (-6.253304764613306 53.35091236742809),POINT (-6.270364659185335 53.35161123129175),1693.9800000000002,1891.9210000000003,37.677536905484324,10.462434742254036
POINT (-6.284131188326691 53.3579653438888),POINT (-6.262304517938588 53.335439880881935),4352.18,5563.156,20.009884508567488,21.767787924695977
POINT (-6.291725560070426 53.34626835879586),POINT (-6.266945706920927 53.35757959410568),2824.9140000000007,3865.629000000001,24.77491479791186,26.922268018995094
POINT (-6.254675326338104 53.336779337012004),POINT (-6.297755798174217 53.33868692208963),3998.5760000000005,4827.7080000000005,12.539393963386205,17.17444385617357
POINT (-6.243676806474724 53.345695643311494),POINT (-6.252455320910467 53.35864982438763),1974.6819999999998,2393.9090000000006,20.649611437662198,17.51223626294904
POINT (-6.277741190832343 53.34277635734927),POINT (-6.273446291530824 53.3487784585106),874.457,1058.0289999999998,4.918428624283212,17.350375084236806
POINT (-6.277416139941157 53.34202608738952),POINT (-6.27980085313499 53.334494467476716),1294.4440000000002,1577.336,33.795724493370045,17.93479639087676
POINT (-6.246350148313192 53.33666784316488),POINT (-6.241030344848521 53.33074578035906),1375.7979999999998,1614.9039999999995,20.569728353460427,14.806205198575261
POINT (-6.252120727135811 53.35787496296778),POINT (-6.253715622644455 53.35197509112445),1050.977,1165.304,45.81765544388791,9.81091629308747
POINT (-6.264402284538973 53.35278731659307),POINT (-6.304869799619445 53.341168196379975),3736.7449999999985,4471.468,27.29601187368809,16.431359902385555
POINT (-6.3043011126761535 53.334444518276236),POINT (-6.235422579354215 53.33368463635429),5422.781000000001,5756.958000000001,23.461589852849247,5.804749661192603
POINT (-6.250659167727651 53.332859315723425),POINT (-6.253272351926342 53.350272748899876),2596.1439999999993,2846.987,28.77283213059845,8.810823512717155
POINT (-6.303366422750798 53.35656628105776),POINT (-6.28855215035757 53.33751696335673),3265.948999999999,3574.715999999999,17.40113124967507,8.63752533068361
POINT (-6.269292135860322 53.34328809472422),POINT (-6.264414356651345 53.339732120327135),766.896,766.896,0.0,0.0
POINT (-6.231366866562234 53.33294964610848),POINT (-6.274873105303762 53.33302822548997),3265.97,3902.6300000000006,41.100349341318804,16.313614152507427
POINT (-6.280942744346418 53.3485742439448),POINT (-6.240077253341395 53.338011780353725),3583.187,5653.044000000001,17.23471911637046,36.61491048008826
POINT (-6.290791118402019 53.33821823068376),POINT (-6.257947736667596 53.33927304504509),2963.8310000000006,3283.9920000000006,11.646231557195314,9.749140680001656
POINT (-6.2848000307988965 53.344840520019844),POINT (-6.25251541531207 53.356953725404004),3797.0690000000004,3981.7040000000006,28.273527253263477,4.637085026913105
POINT (-6.265559768134245 53.336783515053966),POINT (-6.275229003350918 53.33252633337338),1035.9150000000002,1106.806,8.070493368933898,6.405006839500314
POINT (-6.298171080236382 53.33014028358184),POINT (-6.232538637199538 53.35632682302884),6391.528000000001,8386.643000000004,22.191871827578062,23.789196702423148
POINT (-6.275128572038229 53.34167311305916),POINT (-6.281756061897989 53.347239661525784),1218.6999999999996,1218.6999999999996,0.0,0.0
POINT (-6.282125503578601 53.35843716873441),POINT (-6.270441142009635 53.352611170939),1853.4030000000002,1957.7690000000002,2.531596010420409,5.330863855746004
POINT (-6.2573820272461 53.3587374624274),POINT (-6.29212964789756 53.35326737216534),3421.1389999999988,3627.012999999999,16.421611225836084,5.676130744499683
POINT (-6.269276870303524 53.33883334774495),POINT (-6.240132001234781 53.33797627859844),2528.7149999999997,3152.039,52.07298654647391,19.775262932977686
POINT (-6.2589189392093125 53.34724862719899),POINT (-6.3012520837652115 53.35296236918027),3458.9629999999993,3552.3979999999997,24.154497727363054,2.630195152682791
POINT (-6.259606784007336 53.35754431818771),POINT (-6.302793176192112 53.33993981864263),4577.73,5364.761000000001,17.32501570950566,14.6703832659088
POINT (-6.282541690280656 53.33547256050151),POINT (-6.236637106838801 53.33114885916844),3969.474,4180.748,39.50874487755738,5.053497603778067
POINT (-6.289574206489072 53.33530093781202),POINT (-6.24269184106785 53.35873966461085),4780.958,5738.011,21.847501364097873,16.679176808828018
POINT (-6.23781855608903 53.34857915786294),POINT (-6.2739996074675295 53.341504199714095),3188.329000000001,3361.8920000000003,25.21319311449539,5.162658407825093
POINT (-6.303153381234451 53.3418922764724),POINT (-6.303233752573286 53.356068950912714),2782.355,3230.7940000000003,31.090951052717703,13.880148347434107
POINT (-6.242008760124989 53.33276581180956),POINT (-6.254125534804778 53.333341910784746),935.008,935.008,0.0,0.0
POINT (-6.2900675964485275 53.35344874673137),POINT (-6.263649974007671 53.33389364353654),3646.4869999999996,4519.253999999998,24.608650056587237,19.312191790946002
POINT (-6.255885752404844 53.340193562727514),POINT (-6.291458093282935 53.35070853994413),4308.383000000001,4736.604000000001,20.279674298609052,9.04067555573572
POINT (-6.288594009895831 53.35498537776614),POINT (-6.2511091218128225 53.338896118615295),4167.974,5000.203,8.003108624053938,16.64390425748715
POINT (-6.285560832696723 53.34154603820632),POINT (-6.246298263635551 53.342579712721154),3147.0520000000006,4086.29,26.421306135781474,22.985103847255072
POINT (-6.2935901328775214 53.33424206464836),POINT (-6.234315669429376 53.357939142642614),6036.199000000003,6808.560000000002,29.4075101079184,11.343969943717887
POINT (-6.242283865327641 53.355535594531815),POINT (-6.241249579434802 53.35075837556147),1014.3680000000002,1014.3680000000002,0.0,0.0
POINT (-6.275596178262318 53.34944325765982),POINT (-6.243737392798733 53.3454152083815),2631.262999999999,2999.929999999999,34.680227350260125,12.289186747690781
POINT (-6.294942924374233 53.3562362347964),POINT (-6.278766483502708 53.33437796174056),3149.213,3600.336,10.68496349541147,12.530024975446725
POINT (-6.2975517654376185 53.34673266273693),POINT (-6.259884240304023 53.34198584403602),3328.0289999999995,3335.2369999999996,6.66249957818083,0.2161165758235497
POINT (-6.288926095921338 53.34847939181965),POINT (-6.307042365983014 53.351992013183704),2026.3349999999996,2287.0789999999997,30.421340176921884,11.400743043856385
POINT (-6.282387099781225 53.34561069139961),POINT (-6.302286779613201 53.335074025559564),2609.9569999999994,2932.7509999999993,27.354639857761967,11.006525954641221
POINT (-6.298939260042292 53.335458933893),POINT (-6.255928417338347 53.35808210257754),4708.388,5857.197000000001,26.784061944330286,19.61363088863156
POINT (-6.251862027445579 53.33995864241036),POINT (-6.237878369242943 53.35373316118622),3162.1470000000004,3171.021,8.514832250232022,0.27984677490309257
POINT (-6.256865680251553 53.35522827775115),POINT (-6.268635798649572 53.34525211210898),1910.233,2215.491,24.082194584049706,13.778345296821339
POINT (-6.2951504941922485 53.33134348031742),POINT (-6.301848856251567 53.33848144118827),1200.366,1635.1440000000002,17.414618864465076,26.589584770515636
POINT (-6.259264227958691 53.34407024835024),POINT (-6.280781807773484 53.3387062125746),1990.9570000000003,2434.948000000001,20.82792238454283,18.234106026083527
POINT (-6.2643428258262635 53.348992343356784),POINT (-6.280951890429573 53.331065767715245),2788.592,3002.0940000000005,26.939617513404336,7.111769318349138
POINT (-6.25361913984343 53.33231769353459),POINT (-6.298363123878777 53.347098542312416),3977.4429999999993,4387.911,21.434476239420214,9.354519724761982
POINT (-6.268007728856043 53.3404623767605),POINT (-6.265583510628568 53.33840043878386),336.185,336.185,0.0,0.0
POINT (-6.256163720304002 53.35319733814892),POINT (-6.264094277482855 53.34764577870816),1300.012,1517.3149999999998,27.434107443417325,14.321548261237773
POINT (-6.23828021427742 53.357662110432635),POINT (-6.299126989225684 53.348071576002475),5992.046,6330.064999999999,24.791662005805122,5.339897773561543
POINT (-6.251205021721482 53.35111123483555),POINT (-6.297340415248584 53.33423785281572),4458.010000000001,5059.219000000001,12.837213343526795,11.883434972868336
POINT (-6.246407326313933 53.34336453763235),POINT (-6.270047232857138 53.331116931403145),2700.2960000000003,3345.9890000000005,39.75789084909883,19.29752309406875
POINT (-6.238511836199048 53.33812105686008),POINT (-6.283002957013186 53.335282130450544),3708.879,4018.732,45.40169076089917,7.710218048877111
